,prices,rarity,mana_cost,colors,set
0,23.20,rare,{3},[],7ed
1,0.02,common,{U},['U'],m14
2,0.34,rare,{G}{G},['G'],c19
3,0.21,common,{1}{U},['U'],9ed
4,0.14,uncommon,{1}{U},['U'],ulg
5,0.19,rare,{3}{W},['W'],war
6,0.09,common,{3}{R}{R},['R'],scg
7,,common,{1}{G},['G'],me1
8,0.19,uncommon,{U},['U'],rna
9,0.37,uncommon,{2}{G},['G'],ody
10,0.20,rare,{G}{U},"['G', 'U']",arb
11,0.04,common,{1}{U}{U},['U'],jmp
12,0.33,uncommon,{2}{B},['B'],xln
13,,rare,{5}{U}{U},['U'],vma
14,0.62,rare,{1}{G}{G},['G'],c13
15,8.03,uncommon,{G},['G'],m20
16,0.02,common,{2}{W},['W'],hou
17,,common,{2}{B},['B'],me3
18,0.09,uncommon,{2}{U},['U'],znc
19,0.15,uncommon,{1}{U},['U'],10e
20,0.19,common,{3}{B},['B'],5ed
21,0.09,common,{3}{B},['B'],ody
22,0.06,common,{1}{U},['U'],und
23,0.24,rare,{4}{U}{U},['U'],c18
24,9.64,mythic,{5}{B}{B},['B'],zen
25,0.30,common,{G/W},"['G', 'W']",shm
26,0.03,common,{3}{B},['B'],mm2
27,,uncommon,{4},[],me4
28,,common,,['B'],t2xm
29,0.13,common,{2}{G},['G'],apc
30,0.33,rare,{2}{B/P}{B/P},['B'],ust
31,0.01,common,{2}{R}{R},['R'],m20
32,0.08,common,{1}{R},['R'],gs1
33,0.10,uncommon,{1}{G}{W},"['G', 'W']",afc
34,23.67,rare,{3}{U}{U},['U'],c17
35,0.61,rare,{2}{W},['W'],por
36,6.41,mythic,{3}{W}{W},['W'],rix
37,0.16,common,{3}{W},['W'],inv
38,10.10,rare,,[],iko
39,0.29,mythic,{G},['G'],frf
40,0.24,uncommon,{1}{G},['G'],gn2
41,0.10,uncommon,{6}{G},['G'],m12
42,0.09,uncommon,{3}{R},['R'],dom
43,0.10,uncommon,{3}{B}{G},"['B', 'G']",cn2
44,0.13,common,{2}{B},['B'],apc
45,0.44,rare,{6},[],c18
46,,common,,,astx
47,,uncommon,{2}{U},['U'],me4
48,0.05,common,{1}{B},['B'],s99
49,0.39,uncommon,{3}{G},['G'],uma
50,0.05,common,{1}{W},['W'],emn
51,0.10,uncommon,{1}{B}{G},"['B', 'G']",khm
52,18.54,rare,{3}{R},['R'],lgn
53,0.10,uncommon,{4}{R},['R'],akh
54,1.80,rare,{3},[],tsr
55,0.10,uncommon,{2}{W},['W'],akh
56,15.52,mythic,{1}{B},['B'],jmp
57,33.82,rare,,[],chk
58,0.21,uncommon,{3}{W},['W'],lrw
